# Per-capita Net State Domestic Product at constant 2011-12 prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 20
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_constant_2011_12_inr,source,quality
NL,2016-17,64259,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2017-18,66813,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2018-19,70218,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2019-20,73361,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2020-21,68272,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2021-22,69531,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2022-23,69884,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2023-24,77568,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
OD,2011-12,48387,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
OD,2012-13,50769,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
OD,2013-14,54209,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
OD,2014-15,54361,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
OD,2015-16,57806,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
OD,2016-17,66416,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
OD,2017-18,71032,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
